Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
1997-01-01 09:00:45 IST,30.30,68.10,40,4.5,"484km SSW of Kabul , Afghanistan"
1997-01-02 09:22:31 IST,30.50,77.80,33,3.5,"30km NW of Dehradun, Uttarakhand, India"
1997-01-02 16:22:35 IST,10.60,92.70,33,5.1,"113km S of Portblair, Andaman and Nicobar island, India"
1997-01-02 20:46:20 IST,39.60,73.10,33,3,"355km NE of Fayzabad, Afghanistan"
1997-01-03 21:05:12 IST,9.10,93.70,33,4.6,"233km N of Campbell Bay, Andaman and Nicobar island, India"
1997-01-03 23:22:35 IST,39.50,75.70,33,4.4,"387km SSE of Bishkek, Kyrgyzstan"
1997-01-05 14:17:25 IST,29.84,80.53,33,5.6,"41km NE of Pithoragarh, Uttarakhand, India"
1997-01-05 14:33:49 IST,11.80,93.50,100,4.4,"86km ENE of Portblair, Andaman and Nicobar island, India"
1997-01-06 19:33:48 IST,37,97.80,33,5,"1012km NNE of Pangin, Arunachal Pradesh, India"
1997-01-08 00:34:09 IST,37.90,71.70,100,3.9,"134km NE of Fayzabad, Afghanistan"
1997-01-08 15:29:01 IST,31.60,80.60,33,3.9,"152km NE of Joshimath, Uttarakhand , India"
1997-01-08 17:43:38 IST,38.60,73.70,100,3.1,"322km ENE of Fayzabad, Afghanistan"
1997-01-09 01:26:12 IST,30.30,88,33,3.6,"299km NNW of Lachung, Sikkim, India"
1997-01-09 13:46:28 IST,37.60,75.50,109,3.4,"343km N of Kargil, Laddakh, India"
1997-01-10 00:16:17 IST,12.20,96.40,33,4.8,"389km ESE of Diglipur, Andaman and Nicobar island, India"
1997-01-10 07:54:12 IST,36.40,70.80,201,4.8,"81km SSE of Fayzabad, Afghanistan"
1997-01-10 10:22:33 IST,38.70,73.60,100,3.3,"321km NE of Fayzabad, Afghanistan"
1997-01-10 12:44:53 IST,17.30,73.60,0,2.9,"95km NW of Kolhapur, Maharashtra, India"
1997-01-10 14:38:30 IST,28.90,67.30,33,4.4,"595km W of Bikaner, Rajasthan, India"
1997-01-11 02:52:03 IST,23,93.60,100,4.2,"57km SSE of Champhai, Mizoram, India"
1997-01-11 20:05:12 IST,8.90,93.70,33,4.7,"211km N of Campbell Bay, Andaman and Nicobar island, India"
1997-01-12 07:31:00 IST,35.90,71,100,3.7,"139km SSE of Fayzabad, Afghanistan"
1997-01-13 01:34:43 IST,35.40,77.90,33,3.9,"141km N of Leh, Laddakh, India"
1997-01-13 21:44:21 IST,36.90,71.30,150,3.2,"70km ESE of Fayzabad, Afghanistan"
1997-01-14 09:46:11 IST,29.70,70.10,10,4.1,"364km WNW of Bikaner, Rajasthan, India"
1997-01-16 06:57:50 IST,31.51,85.5,33,4.5,"422km N of Kathmandu, Nepal"
1997-01-17 10:43:39 IST,36.51,71.3,250,3.5,"93km SE of Fayzabad, Afghanistan"
1997-01-18 13:08:27 IST,36.50,71.40,93,4.4,"100km SE of Fayzabad, Afghanistan"
1997-01-18 21:57:51 IST,38.80,70.50,33,4.6,"151km E of Dushanbe, Tajikistan"
1997-01-19 04:52:39 IST,38.50,68.43,33,3.3,"31km WSW of Dushanbe, Tajikistan"
1997-01-19 05:29:09 IST,30.30,96.80,33,4.7,"282km NNE of Pangin, Arunachal Pradesh, India"
1997-01-19 05:32:29 IST,30.30,96.90,33,3.9,"285km N of Changlang, Arunachal Pradesh, India"
1997-01-19 20:08:24 IST,32.80,76.18,72,3.6,"66km NNW of Dharamshala, Himachal Pradesh, India"
1997-01-20 02:39:08 IST,36.15,69.40,322,4.2,"147km SW of Fayzabad, Afghanistan"
1997-01-20 09:01:07 IST,34.50,85.70,33,4.7,"655km ENE of Hanley, Jammu & Kashmir, India"
1997-01-20 19:00:54 IST,35.50,77.90,33,3.9,"152km N of Leh, Laddakh, India"
1997-01-20 20:15:27 IST,35.40,77.70,33,3.4,"139km N of Leh, Laddakh, India"
1997-01-20 23:23:43 IST,38.10,73,60,4.6,"242km ENE of Fayzabad, Afghanistan"
