Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
2020-06-01 18:42:06 IST,28.79,76.85,5,3.2[ML],"26km ESE of Rohtak, Haryana, India"
2020-06-02 01:03:12 IST,30.98,78.92,10,2.7[ML],"54km ENE of Uttarkashi, Uttarakhand, India"
2020-06-02 04:53:16 IST,28.45,91.89,5,3.2[ML],"97km N of Tawang, Arunachal Pradesh, India"
2020-06-02 07:09:03 IST,19.31,77.23,20,3.0[MW],"115km NW of Nizamabad, Telangana, India"
2020-06-02 08:18:59 IST,25.8,93.98,29,3.3[ML],"18km NW of Kohima, Nagaland, India"
2020-06-02 20:59:49 IST,36.62,71.37,130,3.9[ML],"90km SE of Fayzabad, Afghanistan"
2020-06-03 07:10:48 IST,24.83,91.9,20,4.1[ML],"52km SSE of Cherrapunjee, Meghalaya, India"
2020-06-03 22:42:30 IST,28.46,77.48,5,3.1[ML],"12km SE of Noida, Uttar Pradesh, India"
2020-06-04 04:00:54 IST,5.17,95.67,50,4.6[Mb],"282km SE of Campbell Bay, Andaman and Nicobar island, India"
2020-06-05 01:43:05 IST,25.68,91.7,5,2.6[ML],"22km WNW of Shillong, Meghalaya, India"
2020-06-05 10:47:01 IST,37.18,71.3,230,4.0[ML],"67km E of Fayzabad, Afghanistan"
2020-06-06 03:42:17 IST,37.33,72.35,301,3.6[ML],"161km E of Fayzabad, Afghanistan"
2020-06-06 16:19:12 IST,36.51,70.89,264,4.2[ML],"72km SSE of Fayzabad, Afghanistan"
2020-06-07 05:20:41 IST,1.72,97.46,67,5.2[Mb],"495km WSW of Kuala Lumpur, Malaysia"
2020-06-07 20:08:10 IST,25.72,90.65,5,2.8[MW],"50km ENE of Tura, Meghalaya, India"
2020-06-07 20:11:39 IST,25.35,94.91,88,3.4[ML],"55km ENE of Shirui, Manipur, India"
2020-06-07 22:36:00 IST,23.17,92.77,10,3.7[ML],"12km S of Thenzawl, Mizoram, India"
2020-06-08 02:15:36 IST,37.97,72.89,104,4.0[ML],"227km ENE of Fayzabad, Afghanistan"
2020-06-08 13:00:34 IST,28.84,76.75,19,2.5[ML],"15km ESE of Rohtak, Haryana, India"
2020-06-08 17:51:24 IST,22.92,94.36,100,3.6[ML],"121km ESE of Champhai, Mizoram, India"
2020-06-08 20:02:51 IST,37,71.53,200,3.8[ML],"87km E of Fayzabad, Afghanistan"
2020-06-09 00:56:46 IST,37.6,72.32,10,3.1[ML],"166km ENE of Fayzabad, Afghanistan"
2020-06-09 01:16:37 IST,30.56,79.32,5,2.6[MW],"22km W of Joshimath, Uttarakhand , India"
2020-06-09 13:29:45 IST,28.58,91.79,10,3.9[ML],"111km N of Tawang, Arunachal Pradesh, India"
2020-06-09 23:34:22 IST,24.84,94.12,50,2.8[ML],"18km E of Imphal, Manipur, India"
2020-06-10 02:17:32 IST,13.98,91.41,10,4.3[ML],"187km WNW of Diglipur, Andaman and Nicobar island, India"
2020-06-10 12:08:12 IST,20.4,72.63,5,2.6[ML],"88km SSW of Surat, Gujarat, India"
2020-06-10 19:27:56 IST,32.58,76.21,5,3.0[MW],"41km NNW of Dharamshala, Himachal Pradesh, India"
2020-06-11 03:33:00 IST,32.24,76.46,5,2.7[MW],"13km E of Dharamshala, Himachal Pradesh, India"
2020-06-11 15:01:54 IST,24.74,95.9,120,3.6[ML],"144km E of Ukhrul, Manipur, India"
2020-06-11 16:19:06 IST,26.36,93.1,38,2.8[ML],"44km SE of Tezpur, Assam, India"
2020-06-12 01:40:21 IST,36.52,71.21,272,3.6[ML],"87km SE of Fayzabad, Afghanistan"
2020-06-12 03:46:14 IST,37.91,72.26,150,4.0[ML],"175km ENE of Fayzabad, Afghanistan"
2020-06-12 13:06:11 IST,38.16,73.94,150,4.0[ML],"320km ENE of Fayzabad, Afghanistan"
2020-06-12 16:50:24 IST,32.6,69.64,10,3.8[ML],"221km S of Kabul , Afghanistan"
2020-06-12 19:03:42 IST,26.36,91.33,20,3.2[ML],"47km WNW of Guwahati, Assam, India"
2020-06-13 05:02:38 IST,33.2,73.63,10,4.0[ML],"66km WSW of Rajouri, Jammu and Kashmir"
2020-06-14 04:12:53 IST,24.84,93.5,8,2.8[ML],"35km NW of Bishnupur, Manipur, India"
2020-06-14 04:16:13 IST,24.38,93.78,64,3.0[MW],"13km S of Moirang, Manipur, India"
2020-06-14 07:05:15 IST,37.28,71.79,38,3.8[ML],"111km E of Fayzabad, Afghanistan"
2020-06-14 08:09:39 IST,27,97.56,10,4.3[ML],"122km SE of Changlang, Arunachal Pradesh, India"
2020-06-14 11:05:32 IST,23.28,93.78,60,4.3[ML],"50km ESE of Champhai, Mizoram, India"
2020-06-14 20:13:09 IST,23.32,70.4,10,4.9[ML],"120km NNW of Rajkot, Gujarat, India"
2020-06-14 20:19:07 IST,25.67,90.86,5,2.7[ML],"68km ENE of Tura, Meghalaya, India"
2020-06-14 20:35:25 IST,32.94,75.86,10,3.0[MW],"86km E of Katra, Jammu and Kashmir, India"
2020-06-15 04:01:12 IST,32.97,75.87,5,3.1[ML],"87km E of Katra, Jammu and Kashmir, India"
2020-06-15 04:07:56 IST,32.97,75.88,4,3.2[MW],"88km E of Katra, Jammu and Kashmir, India"
2020-06-15 04:36:17 IST,32.97,75.88,3,3.2[ML],"88km E of Katra, Jammu and Kashmir, India"
2020-06-15 06:31:12 IST,32.94,75.92,11,3.3[ML],"88km NNW of Dharamshala, Himachal Pradesh, India"
2020-06-15 12:57:37 IST,23.36,70.36,10,4.0[ML],"125km NNW of Rajkot, Gujarat, India"
2020-06-15 15:56:02 IST,23.52,70.31,10,3.0[ML],"144km NNW of Rajkot, Gujarat, India"
2020-06-15 22:07:50 IST,33.55,75.6,10,3.3[ML],"58km SSE of Pahalgam, Jammu and Kashmir, India"
2020-06-15 22:59:00 IST,32.91,75.94,11,2.9[MW],"84km NNW of Dharamshala, Himachal Pradesh, India"
2020-06-16 07:00:42 IST,38.2,72.32,130,5.5[ML],"198km NE of Fayzabad, Afghanistan"
2020-06-16 14:10:10 IST,32.99,75.87,10,3.6[MW],"87km E of Katra, Jammu and Kashmir, India"
2020-06-16 14:51:35 IST,36.62,70.99,212,5.1[ML],"66km SE of Fayzabad, Afghanistan"
2020-06-16 16:45:50 IST,18.65,94.14,35,4.5[ML],"294km NW of Rangoon, Myanmar"
2020-06-17 03:14:36 IST,31.27,71.97,10,3.4[ML],"278km W of Amritsar, Punjab, India"
2020-06-17 05:05:17 IST,37.45,71.75,100,3.8[ML],"113km ENE of Fayzabad, Afghanistan"
2020-06-17 11:51:19 IST,19.98,72.73,10,2.5[ML],"101km N of Mumbai, Maharashtra, India"
2020-06-17 12:28:19 IST,25.28,63.4,10,4.5[MW],"541km ENE of Muscat, Oman"
2020-06-18 04:18:30 IST,28.82,76.74,7,2.1[MW],"15km ESE of Rohtak, Haryana, India"
2020-06-18 07:32:19 IST,6.8,92.93,10,4.9[Mb],"110km WSW of Campbell Bay, Andaman and Nicobar island, India"
2020-06-18 09:44:43 IST,36.16,71.38,220,4.2[ML],"128km SE of Fayzabad, Afghanistan"
2020-06-18 10:55:40 IST,36.63,69.95,200,3.9[ML],"74km SW of Fayzabad, Afghanistan"
2020-06-18 18:02:28 IST,23.45,70.27,10,3.2[ML],"138km NNW of Rajkot, Gujarat, India"
2020-06-18 19:29:23 IST,22.52,94.18,80,4.6[ML],"135km SE of Champhai, Mizoram, India"
2020-06-18 21:04:28 IST,37.26,71.92,100,3.8[ML],"122km E of Fayzabad, Afghanistan"
2020-06-19 05:37:39 IST,28.81,76.74,5,2.4[ML],"16km SE of Rohtak, Haryana, India"
2020-06-20 01:52:15 IST,28.79,76.73,5,2.0[MW],"16km SE of Rohtak, Haryana, India"
2020-06-20 21:02:52 IST,35.5,73.25,39,3.8[ML],"191km NNW of Gulmarg, Jammu and Kashmir, India"
2020-06-21 15:10:02 IST,33.53,99.21,10,4.1[ML],"688km NNE of Changlang, Arunachal Pradesh, India"
2020-06-21 15:40:16 IST,21.91,94.68,120,4.0[ML],"131km W of Burma, Myanmar"
2020-06-21 16:16:24 IST,23.79,93.6,40,5.0[ML],"40km ESE of Ngopa, Mizoram, India"
2020-06-21 23:08:57 IST,32.87,86.29,10,4.0[ML],"580km N of Kathmandu, Nepal"
2020-06-22 00:10:39 IST,37.45,72.5,10,3.6[ML],"176km ENE of Fayzabad, Afghanistan"
2020-06-22 04:10:51 IST,23.1,93.33,10,5.4[ML],"39km S of Champhai, Mizoram, India"
2020-06-22 09:38:04 IST,36.89,71.48,277,3.7[ML],"85km ESE of Fayzabad, Afghanistan"
2020-06-22 12:21:20 IST,28.36,91.89,10,3.1[ML],"87km N of Tawang, Arunachal Pradesh, India"
2020-06-22 12:40:23 IST,25.75,94.53,29,3.0[ML],"43km ENE of Kohima, Nagaland, India"
2020-06-22 16:39:59 IST,19.4,83.9,10,3.8[MW],"94km W of Berhampur, Odisha, India"
2020-06-22 19:07:16 IST,38.91,69.95,100,4.0[ML],"108km ENE of Dushanbe, Tajikistan"
2020-06-23 17:28:08 IST,19.49,77.2,5,3.1[ML],"130km NW of Nizamabad, Telangana, India"
2020-06-23 19:17:37 IST,23.98,92.1,31,3.7[ML],"44km S of Dharmanagar, Tripura, India"
2020-06-23 21:19:19 IST,36.44,71.5,100,4.2[ML],"112km SE of Fayzabad, Afghanistan"
2020-06-23 23:03:48 IST,22.72,93.69,10,3.3[ML],"89km SSE of Champhai, Mizoram, India"
2020-06-24 08:02:33 IST,22.97,93.39,5,4.2[ML],"54km S of Champhai, Mizoram, India"
